Datum,min,max
19/09/2016,4.2,14.4
20/09/2016,7.4,13.6
21/09/2016,9.8,12.8
22/09/2016,8.7,11.2
23/09/2016,6.1,9.5
24/09/2016,5.8,8.7
25/09/2016,4.5,12.9
26/09/2016,8.1,12.2
27/09/2016,9.6,11.1
28/09/2016,9.1,11
29/09/2016,8,11
30/09/2016,6.2,9.2
01/10/2016,2.8,12.9
02/10/2016,-1.9,10.9
03/10/2016,-3,7.5
04/10/2016,-7.3,7.4
05/10/2016,-8.1,7.5
06/10/2016,-1.4,11.8
07/10/2016,-1.6,11.4
08/10/2016,3.1,5.8
09/10/2016,2.1,5.6
10/10/2016,1.5,4.3
11/10/2016,-2,1.6
12/10/2016,-6.6,8.6
13/10/2016,-5.1,8.3
14/10/2016,-3.3,8.1
15/10/2016,-7.1,3.9
16/10/2016,-1.1,2.1
17/10/2016,-1.6,1.7
18/10/2016,-0.2,4.3
19/10/2016,1.9,5.6
20/10/2016,-1.8,2
21/10/2016,0.3,4
22/10/2016,1,3.1
23/10/2016,-0.9,1.2
24/10/2016,-0.9,1.8
25/10/2016,0.5,2.7
26/10/2016,-2.1,0.5
27/10/2016,-2.6,0.1
28/10/2016,0,2.3
29/10/2016,-3.4,1.7
30/10/2016,-4,1.5
31/10/2016,-1.8,1.1
01/11/2016,-1.4,0.2
02/11/2016,-2,-0.1
03/11/2016,-3.7,-1
04/11/2016,-10.5,-2
05/11/2016,-15.6,-5.9
06/11/2016,-15.2,-6.6
07/11/2016,-19,-8.5
08/11/2016,-20.6,-7.9
09/11/2016,-21.8,-10
10/11/2016,-20.9,-9.7
11/11/2016,-14.2,-7.6
12/11/2016,-21.6,-10.1
13/11/2016,-21.9,-3.3
14/11/2016,-5.3,0
15/11/2016,-1.5,0.5
16/11/2016,-1.1,0.6
17/11/2016,-1.6,0.6
18/11/2016,-0.6,1.3
19/11/2016,-0.4,1
20/11/2016,-2.1,0.9
21/11/2016,-1.6,0.6
22/11/2016,-2.3,0.5
23/11/2016,-15.2,0.1
24/11/2016,-20.3,-11.5
25/11/2016,-18.2,-7.9
26/11/2016,-7.9,-4.4
27/11/2016,-14.7,-6.1
28/11/2016,-20.5,-7.6
29/11/2016,-21.1,-1.9
30/11/2016,-6.4,0.3
01/12/2016,-6.2,-0.9
02/12/2016,-15.6,-1.3
03/12/2016,-29.2,-14.7
04/12/2016,-30.9,-7.8
05/12/2016,-19.3,-8.2
06/12/2016,-28.8,-10.5
07/12/2016,-10.5,-0.4
08/12/2016,-9.2,-3.8
09/12/2016,-10.4,-3.5
10/12/2016,-11.2,-7.5
11/12/2016,-21.4,-10
12/12/2016,-18.7,-10.2
13/12/2016,-15.3,-7.5
14/12/2016,-13.8,-5.2
15/12/2016,-13.8,-2.2
16/12/2016,-12.9,-1.5
