Datum,precip_mm
21/05/2014,0.2
22/05/2014,3.4
23/05/2014,16.5
24/05/2014,0
25/05/2014,0
26/05/2014,0
27/05/2014,0
28/05/2014,0
29/05/2014,0
30/05/2014,0.4
31/05/2014,9.8
01/06/2014,0
02/06/2014,0
03/06/2014,0
04/06/2014,0
05/06/2014,0
06/06/2014,0
07/06/2014,14.3
08/06/2014,7
09/06/2014,0.7
10/06/2014,4.8
11/06/2014,2.1
12/06/2014,2.1
13/06/2014,0
14/06/2014,0
15/06/2014,0.2
16/06/2014,2
17/06/2014,0.8
18/06/2014,1.8
19/06/2014,1
20/06/2014,3.9
21/06/2014,0.5
22/06/2014,1.4
23/06/2014,0
24/06/2014,0
25/06/2014,0
26/06/2014,0
27/06/2014,0.5
28/06/2014,0.3
29/06/2014,0
30/06/2014,2.1
01/07/2014,0
02/07/2014,5.6
03/07/2014,4.1
04/07/2014,0.1
05/07/2014,0
06/07/2014,0
07/07/2014,0
08/07/2014,0
09/07/2014,0
10/07/2014,0
11/07/2014,0
12/07/2014,0
13/07/2014,0
14/07/2014,0.1
15/07/2014,0.4
16/07/2014,0.5
17/07/2014,0.1
18/07/2014,0
19/07/2014,1.8
20/07/2014,0
21/07/2014,0
22/07/2014,0
23/07/2014,0
24/07/2014,0
25/07/2014,0.7
26/07/2014,0
27/07/2014,5
28/07/2014,3.5
29/07/2014,2.8
30/07/2014,1.8
31/07/2014,8.7
01/08/2014,0.1
02/08/2014,0
03/08/2014,0
04/08/2014,0
05/08/2014,0
06/08/2014,0
07/08/2014,0
08/08/2014,0
09/08/2014,0
10/08/2014,0.5
11/08/2014,0
12/08/2014,38.2
13/08/2014,0.7
14/08/2014,0
15/08/2014,1.1
16/08/2014,1.2
17/08/2014,0
18/08/2014,14.5
19/08/2014,3
20/08/2014,0.5
21/08/2014,0
22/08/2014,0
23/08/2014,0.1
24/08/2014,0.9
25/08/2014,4.1
26/08/2014,0.5
27/08/2014,0.9
28/08/2014,0
29/08/2014,0
30/08/2014,0
31/08/2014,0
01/09/2014,0
02/09/2014,0
03/09/2014,0
04/09/2014,0
05/09/2014,0.1
06/09/2014,0
07/09/2014,3.2
08/09/2014,0.1
09/09/2014,0
10/09/2014,0
11/09/2014,0
12/09/2014,0
13/09/2014,0
14/09/2014,0
15/09/2014,0
16/09/2014,0
17/09/2014,0
18/09/2014,0.2
19/09/2014,1.3
20/09/2014,7
21/09/2014,3.2
22/09/2014,0
23/09/2014,0.2
24/09/2014,15.4
25/09/2014,1.5
26/09/2014,6.3
27/09/2014,0.6
28/09/2014,1.4
29/09/2014,0.1
30/09/2014,0
01/10/2014,0
02/10/2014,0
03/10/2014,0
04/10/2014,0.7
05/10/2014,0
06/10/2014,0
07/10/2014,0
08/10/2014,0.3
09/10/2014,0
10/10/2014,2
11/10/2014,0.6
12/10/2014,0
13/10/2014,0
14/10/2014,0
15/10/2014,0
16/10/2014,0
17/10/2014,0
18/10/2014,0.1
19/10/2014,0.1
20/10/2014,0
21/10/2014,0
22/10/2014,0
23/10/2014,0.8
24/10/2014,4.8
25/10/2014,4.5
26/10/2014,0.9
27/10/2014,0.4
28/10/2014,0
29/10/2014,0
30/10/2014,0.1
31/10/2014,0
01/11/2014,5.2
02/11/2014,0.9
03/11/2014,0
04/11/2014,0
05/11/2014,0
06/11/2014,0
07/11/2014,0
08/11/2014,1.2
09/11/2014,0.1
10/11/2014,0.4
11/11/2014,0.5
12/11/2014,0
13/11/2014,0.1
14/11/2014,0
15/11/2014,3.6
16/11/2014,0.4
17/11/2014,0.5
18/11/2014,0
19/11/2014,0
20/11/2014,0
21/11/2014,0.1
22/11/2014,0.2
23/11/2014,0.4
24/11/2014,5.7
25/11/2014,0.1
26/11/2014,0
27/11/2014,0.2
28/11/2014,0
29/11/2014,0
30/11/2014,0
01/12/2014,1.2
02/12/2014,5
03/12/2014,1.9
04/12/2014,0
05/12/2014,0
06/12/2014,0
07/12/2014,0.9
08/12/2014,0
09/12/2014,0.8
10/12/2014,4.7
11/12/2014,1.5
12/12/2014,3.6
13/12/2014,5.4
14/12/2014,1.3
15/12/2014,6.1
16/12/2014,1.2
17/12/2014,0.2
18/12/2014,0.1
19/12/2014,0.1
20/12/2014,1.1
21/12/2014,0.1
22/12/2014,0.1
23/12/2014,0.1
24/12/2014,0
25/12/2014,0
26/12/2014,0.1
27/12/2014,0
28/12/2014,0
29/12/2014,4.6
30/12/2014,2.7
31/12/2014,0.1
01/01/2015,0.3
02/01/2015,7.2
03/01/2015,1.3
04/01/2015,0.5
05/01/2015,0.2
06/01/2015,1
07/01/2015,0.2
08/01/2015,5.3
09/01/2015,2.6
10/01/2015,1.5
11/01/2015,0
12/01/2015,0.3
13/01/2015,1
14/01/2015,1.7
15/01/2015,0.6
16/01/2015,1.6
17/01/2015,1.4
18/01/2015,0
19/01/2015,0.3
20/01/2015,0.1
21/01/2015,0
22/01/2015,0
23/01/2015,0.1
24/01/2015,4
25/01/2015,0.1
26/01/2015,1.5
27/01/2015,1.2
28/01/2015,0.9
29/01/2015,9.5
30/01/2015,2.5
31/01/2015,0.1
01/02/2015,0.9
02/02/2015,2.6
03/02/2015,1.7
04/02/2015,0.3
05/02/2015,0.3
06/02/2015,1.4
07/02/2015,0.4
08/02/2015,0.8
09/02/2015,0
10/02/2015,0.1
11/02/2015,0
12/02/2015,0.1
13/02/2015,0
14/02/2015,0
15/02/2015,0
16/02/2015,0
17/02/2015,0
18/02/2015,0
19/02/2015,0.4
20/02/2015,0
21/02/2015,0
22/02/2015,0
23/02/2015,1.5
24/02/2015,0.9
25/02/2015,0
26/02/2015,0.2
27/02/2015,1.6
28/02/2015,0
01/03/2015,0.3
02/03/2015,0.6
03/03/2015,0.3
04/03/2015,0.2
05/03/2015,0.5
06/03/2015,0.1
07/03/2015,2.3
08/03/2015,0
09/03/2015,0
10/03/2015,2.4
11/03/2015,0
12/03/2015,0
13/03/2015,0
14/03/2015,0
15/03/2015,0
16/03/2015,0
17/03/2015,0
18/03/2015,0
19/03/2015,0.3
20/03/2015,0
21/03/2015,0
22/03/2015,1.6
23/03/2015,0.4
24/03/2015,0.1
25/03/2015,0
26/03/2015,0
27/03/2015,0.9
28/03/2015,2
29/03/2015,1
30/03/2015,5.7
31/03/2015,4.3
01/04/2015,0.5
02/04/2015,0.1
03/04/2015,0.1
04/04/2015,0.3
05/04/2015,0.1
06/04/2015,0
07/04/2015,0
08/04/2015,0
09/04/2015,0.8
10/04/2015,1
11/04/2015,0
12/04/2015,1.2
13/04/2015,3
14/04/2015,0.3
15/04/2015,1
16/04/2015,0.1
17/04/2015,0
18/04/2015,0
19/04/2015,0
20/04/2015,0
21/04/2015,0
22/04/2015,0
23/04/2015,0.3
24/04/2015,0.3
25/04/2015,0
26/04/2015,0
27/04/2015,1.7
28/04/2015,0
29/04/2015,0
30/04/2015,1.1
01/05/2015,5
02/05/2015,2.2
03/05/2015,0.3
