Datum,precip_mm
22/01/2011,0
23/01/2011,0.2
24/01/2011,0
25/01/2011,0
26/01/2011,0.3
27/01/2011,0
28/01/2011,0
29/01/2011,1.3
30/01/2011,1.9
31/01/2011,0.7
01/02/2011,2.1
02/02/2011,1.8
03/02/2011,6.2
04/02/2011,2.8
05/02/2011,5.2
06/02/2011,2.1
07/02/2011,1
08/02/2011,0.2
09/02/2011,0
10/02/2011,0
11/02/2011,5.9
12/02/2011,0.2
13/02/2011,0.1
14/02/2011,0
15/02/2011,0.3
16/02/2011,0.2
17/02/2011,0.1
18/02/2011,0.1
19/02/2011,0
20/02/2011,0
21/02/2011,0
22/02/2011,0
23/02/2011,0
24/02/2011,1.1
25/02/2011,5.3
26/02/2011,0
27/02/2011,0
28/02/2011,0
01/03/2011,0
02/03/2011,0.1
03/03/2011,0
04/03/2011,0
05/03/2011,0.2
06/03/2011,1.6
07/03/2011,0
08/03/2011,0
09/03/2011,1.3
10/03/2011,0.1
11/03/2011,1.2
12/03/2011,0
13/03/2011,0.1
14/03/2011,0
15/03/2011,0
16/03/2011,0
17/03/2011,0
18/03/2011,0
19/03/2011,0
20/03/2011,0.4
21/03/2011,0.8
22/03/2011,0
23/03/2011,0.1
24/03/2011,0.3
25/03/2011,0
26/03/2011,0
27/03/2011,0
28/03/2011,0
29/03/2011,0
30/03/2011,0
31/03/2011,0
01/04/2011,0
02/04/2011,1.4
03/04/2011,0
04/04/2011,0
05/04/2011,0
06/04/2011,0.1
07/04/2011,0
08/04/2011,0.1
09/04/2011,0
10/04/2011,0.9
11/04/2011,0
12/04/2011,0
13/04/2011,0
14/04/2011,0.1
15/04/2011,0
16/04/2011,0.1
17/04/2011,0
18/04/2011,0
19/04/2011,1.6
20/04/2011,0
21/04/2011,0
22/04/2011,0
23/04/2011,0
24/04/2011,0
25/04/2011,2.9
26/04/2011,0
27/04/2011,0.1
28/04/2011,0
29/04/2011,0.4
30/04/2011,0.4
01/05/2011,0.1
02/05/2011,0
03/05/2011,0.1
04/05/2011,0
05/05/2011,0.2
06/05/2011,1.9
07/05/2011,0
08/05/2011,0
09/05/2011,0
10/05/2011,0
11/05/2011,0
12/05/2011,0
13/05/2011,0
14/05/2011,0
15/05/2011,0
16/05/2011,4.9
17/05/2011,7.1
18/05/2011,0.1
19/05/2011,2.8
20/05/2011,0.3
21/05/2011,1.2
22/05/2011,0
23/05/2011,5.1
24/05/2011,0.8
25/05/2011,3.9
26/05/2011,0
27/05/2011,0.6
28/05/2011,4.4
29/05/2011,1.7
30/05/2011,2.8
31/05/2011,2.6
01/06/2011,0
02/06/2011,3.7
03/06/2011,0
04/06/2011,24.2
05/06/2011,0
06/06/2011,1.1
07/06/2011,7
08/06/2011,1.5
09/06/2011,0
10/06/2011,1.9
11/06/2011,0
12/06/2011,0
13/06/2011,0
14/06/2011,0
15/06/2011,0
16/06/2011,0
17/06/2011,0
18/06/2011,0
19/06/2011,4.5
20/06/2011,5.4
21/06/2011,26.5
22/06/2011,7.7
23/06/2011,0
24/06/2011,0
25/06/2011,0
26/06/2011,0
27/06/2011,0.6
28/06/2011,0.2
29/06/2011,16.3
30/06/2011,0
01/07/2011,2
02/07/2011,0.1
03/07/2011,0
04/07/2011,0
05/07/2011,0
06/07/2011,0.8
07/07/2011,1.8
08/07/2011,0
09/07/2011,0
10/07/2011,14.5
11/07/2011,6.2
12/07/2011,0
13/07/2011,0
14/07/2011,0
15/07/2011,0
16/07/2011,0.7
17/07/2011,0
18/07/2011,5
19/07/2011,2.1
20/07/2011,0
21/07/2011,0
22/07/2011,0
23/07/2011,0
24/07/2011,24.1
25/07/2011,0
26/07/2011,7.6
27/07/2011,0
28/07/2011,0
29/07/2011,0
30/07/2011,0
31/07/2011,0
01/08/2011,0
02/08/2011,9.5
03/08/2011,0
04/08/2011,0.2
05/08/2011,0
06/08/2011,0.1
07/08/2011,0.1
08/08/2011,0
09/08/2011,3.6
10/08/2011,0.6
11/08/2011,0.7
12/08/2011,0.6
13/08/2011,0
14/08/2011,0
15/08/2011,0
16/08/2011,0
17/08/2011,0.1
18/08/2011,0
19/08/2011,2.5
20/08/2011,0.2
21/08/2011,1.8
22/08/2011,0.2
23/08/2011,2.1
24/08/2011,5.1
25/08/2011,0
26/08/2011,5.8
27/08/2011,3.6
28/08/2011,4.2
29/08/2011,9.8
30/08/2011,0
31/08/2011,0
01/09/2011,0.6
02/09/2011,1.3
03/09/2011,0
04/09/2011,0
05/09/2011,3
06/09/2011,0.2
07/09/2011,0.2
08/09/2011,1
09/09/2011,0
10/09/2011,2.9
11/09/2011,2.1
12/09/2011,10.8
13/09/2011,3.3
14/09/2011,3.9
15/09/2011,1
16/09/2011,1.2
17/09/2011,0
18/09/2011,0.1
19/09/2011,0.1
20/09/2011,4.7
21/09/2011,0.8
22/09/2011,3.7
23/09/2011,1.9
24/09/2011,0.3
25/09/2011,0.3
26/09/2011,6.2
27/09/2011,7.5
28/09/2011,0
29/09/2011,0
30/09/2011,0
01/10/2011,6.4
02/10/2011,9.5
03/10/2011,0
04/10/2011,5.5
05/10/2011,0.3
06/10/2011,15.8
07/10/2011,8
08/10/2011,0
09/10/2011,1
10/10/2011,0.7
11/10/2011,0
12/10/2011,0
13/10/2011,0
14/10/2011,0
15/10/2011,0.4
16/10/2011,2
17/10/2011,1.8
18/10/2011,4.4
19/10/2011,4.1
20/10/2011,0
21/10/2011,0
22/10/2011,0
23/10/2011,0.7
24/10/2011,0.1
25/10/2011,0
26/10/2011,0
27/10/2011,0
28/10/2011,2.6
29/10/2011,0.2
30/10/2011,0.2
31/10/2011,1.5
01/11/2011,2.6
02/11/2011,0.8
03/11/2011,0
04/11/2011,0.2
05/11/2011,0.4
06/11/2011,3.2
07/11/2011,0
08/11/2011,0
09/11/2011,0
10/11/2011,0
11/11/2011,0.4
12/11/2011,0.2
13/11/2011,0
14/11/2011,0
15/11/2011,0
16/11/2011,0
17/11/2011,0
18/11/2011,1.1
19/11/2011,0
20/11/2011,0
21/11/2011,0
22/11/2011,0
23/11/2011,0.1
24/11/2011,0
25/11/2011,5.9
26/11/2011,0.1
27/11/2011,0.2
28/11/2011,0
29/11/2011,0.4
30/11/2011,1.7
01/12/2011,0
02/12/2011,3.1
03/12/2011,0.5
04/12/2011,2.2
05/12/2011,0.1
06/12/2011,0.1
07/12/2011,3.5
08/12/2011,0.7
09/12/2011,1.6
10/12/2011,3.9
11/12/2011,0.3
12/12/2011,3.2
13/12/2011,3
14/12/2011,1.7
15/12/2011,0.4
16/12/2011,0.4
17/12/2011,0.2
18/12/2011,1.3
19/12/2011,3.4
20/12/2011,1.4
21/12/2011,0.8
22/12/2011,0
23/12/2011,2.5
24/12/2011,0
25/12/2011,0
26/12/2011,0
27/12/2011,0
28/12/2011,0
29/12/2011,1.4
30/12/2011,1.9
31/12/2011,0.4
01/01/2012,0.2
02/01/2012,0.4
03/01/2012,4.2
04/01/2012,0.6
05/01/2012,3.3
06/01/2012,0.6
07/01/2012,0
08/01/2012,0
09/01/2012,0.3
10/01/2012,1.3
11/01/2012,0.5
12/01/2012,0.7
13/01/2012,0.1
14/01/2012,0.2
15/01/2012,1.1
16/01/2012,0
17/01/2012,2.6
18/01/2012,0
19/01/2012,0.1
20/01/2012,0.2
21/01/2012,0.1
22/01/2012,0.8
23/01/2012,0.4
24/01/2012,0.1
25/01/2012,0.3
26/01/2012,0.2
27/01/2012,0.4
28/01/2012,0.1
29/01/2012,0.2
30/01/2012,0.1
31/01/2012,0
